gene_id,Not significant,m6A depleted,m6A enriched,msa_var
ENSMUSG00000003070,5,0,2,Not significant
ENSMUSG00000003072,2,5,0,m6A depleted
ENSMUSG00000003099,4,3,0,m6A depleted
ENSMUSG00000003119,6,0,1,Not significant
ENSMUSG00000003123,7,0,0,Not significant
ENSMUSG00000003131,7,0,0,Not significant
ENSMUSG00000003134,7,0,0,Not significant
ENSMUSG00000003135,5,2,0,Not significant
ENSMUSG00000003153,4,3,0,m6A depleted
ENSMUSG00000003154,7,0,0,Not significant
ENSMUSG00000003161,6,1,0,Not significant
ENSMUSG00000003166,6,0,1,Not significant
ENSMUSG00000003184,7,0,0,Not significant
ENSMUSG00000003190,6,1,0,Not significant
ENSMUSG00000003198,2,0,5,m6A enriched
ENSMUSG00000003199,5,2,0,Not significant
ENSMUSG00000003200,5,0,2,Not significant
ENSMUSG00000003206,7,0,0,Not significant
ENSMUSG00000003208,6,1,0,Not significant
ENSMUSG00000003226,5,0,2,Not significant
ENSMUSG00000003227,7,0,0,Not significant
ENSMUSG00000003228,7,0,0,Not significant
ENSMUSG00000003233,4,3,0,m6A depleted
ENSMUSG00000003234,7,0,0,Not significant
ENSMUSG00000003235,2,5,0,m6A depleted
ENSMUSG00000003269,3,4,0,m6A depleted
ENSMUSG00000003271,7,0,0,Not significant
ENSMUSG00000003273,6,1,0,Not significant
ENSMUSG00000003279,6,1,0,Not significant
ENSMUSG00000003282,2,0,5,m6A enriched
ENSMUSG00000003283,7,0,0,Not significant
ENSMUSG00000003299,3,4,0,m6A depleted
ENSMUSG00000003308,1,0,6,m6A enriched
ENSMUSG00000003309,3,4,0,m6A depleted
ENSMUSG00000003316,7,0,0,Not significant
ENSMUSG00000003341,7,0,0,Not significant
ENSMUSG00000003344,4,3,0,m6A depleted
ENSMUSG00000003345,6,1,0,Not significant
ENSMUSG00000003346,5,2,0,Not significant
ENSMUSG00000003348,6,0,1,Not significant
ENSMUSG00000003352,7,0,0,Not significant
ENSMUSG00000003354,6,1,0,Not significant
ENSMUSG00000003355,5,2,0,Not significant
ENSMUSG00000003360,6,0,1,Not significant
ENSMUSG00000003363,5,2,0,Not significant
ENSMUSG00000003378,6,0,1,Not significant
ENSMUSG00000003379,5,0,0,Not significant
ENSMUSG00000003380,5,2,0,Not significant
ENSMUSG00000003382,6,0,1,Not significant
ENSMUSG00000003402,4,3,0,m6A depleted
ENSMUSG00000003410,7,0,0,Not significant
ENSMUSG00000003411,6,1,0,Not significant
ENSMUSG00000003418,5,0,0,Not significant
ENSMUSG00000003420,7,0,0,Not significant
ENSMUSG00000003421,6,1,0,Not significant
ENSMUSG00000003423,5,2,0,Not significant
ENSMUSG00000003429,1,6,0,m6A depleted
ENSMUSG00000003435,6,1,0,Not significant
ENSMUSG00000003436,5,2,0,Not significant
ENSMUSG00000003437,5,0,2,Not significant
ENSMUSG00000003438,6,1,0,Not significant
ENSMUSG00000003444,6,1,0,Not significant
ENSMUSG00000003452,6,0,1,Not significant
ENSMUSG00000003458,6,1,0,Not significant
ENSMUSG00000003464,3,4,0,m6A depleted
ENSMUSG00000003469,7,0,0,Not significant
ENSMUSG00000003476,7,0,0,Not significant
ENSMUSG00000003477,3,0,0,Not significant
ENSMUSG00000003484,3,0,0,Not significant
ENSMUSG00000003500,3,4,0,m6A depleted
ENSMUSG00000003518,6,0,1,Not significant
ENSMUSG00000003526,6,1,0,Not significant
ENSMUSG00000003527,6,0,1,Not significant
ENSMUSG00000003528,2,5,0,m6A depleted
ENSMUSG00000003531,6,1,0,Not significant
ENSMUSG00000003534,7,0,0,Not significant
ENSMUSG00000003541,5,1,1,Not significant
